NPA,2011,2013,2015,2016,2017,2018,2019,2020,2021,2022,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2017 Raw,2018 Raw,2019 Raw,2020 Raw,2021 Raw,2022 Raw
314,"7","7","6","11","15","6","12","14","15","11","16","18","15","28","39","17","28","32","33","25"
315,"15","13","14","24","20","9","7","7","6","4","8","8","10","18","15","16","12","12","11","7"
316,"8","13","8","8","9","8","10","11","14","9","29","56","32","34","39","35","36","41","49","31"
317,"10","11","16","16","16","19","17","22","21","13","8","9","13","13","13","15","12","16","15","9"
318,"1","1","1","1","1","1","0","2","1","1","1","1","2","2","1","2","0","3","2","2"
319,"1","3","2","1","5","2","3","2","3","3","3","10","5","3","15","7","10","8","10","10"
320,"0","2","0","4","0","2","2","2","3","2","0","2","0","4","0","2","2","2","4","2"
321,"18","23","18","13","18","17","10","9","12","10","20","27","22","15","22","20","12","10","14","12"
322,"2","3","1","4","0","3","1","5","3","1","3","3","1","5","0","4","1","6","4","1"
323,"6","10","5","8","9","8","8","10","5","11","15","25","13","21","23","20","22","25","12","28"
324,"0","1","1","0","1","1","2","1","2","1","0","2","2","0","1","1","3","1","3","2"
325,"5","3","5","3","1","2","3","1","2","4","13","7","13","9","4","6","9","4","5","12"
326,"14","21","8","20","23","12","13","39","31","19","13","20","8","19","22","11","10","30","24","15"
327,"13","14","9","17","16","11","13","9","8","10","21","24","15","29","27","18","22","15","13","16"
328,"22","18","27","39","49","26","18","32","37","33","23","20","30","43","54","28","19","34","39","35"
329,"1","2","3","5","4","7","6","4","6","8","2","5","6","11","9","14","12","7","12","15"
330,"2","3","4","8","7","1","5","4","6","2","3","6","8","18","16","2","11","8","12","4"
331,"17","9","14","15","21","7","20","18","22","32","12","14","23","25","35","14","40","36","44","64"
332,"3","2","2","0","2","1","2","2","4","3","4","3","4","0","3","2","3","4","8","5"
333,"4","2","5","5","4","7","3","5","3","4","11","5","14","15","12","21","10","16","10","12"
334,"1","1","0","5","1","3","5","1","2","4","1","1","0","4","1","2","4","1","2","3"
335,"--","0","0","0","1","--","--","--","--","--","0","1","1","1","2","0","0","0","0","0"
336,"1","1","0","2","2","3","2","4","4","3","2","3","1","9","8","16","12","24","22","17"
337,"1","1","1","2","0","1","1","1","1","3","1","1","1","3","0","2","3","3","2","7"
338,"9","12","11","9","9","6","5","5","8","5","10","20","25","21","19","14","9","9","16","10"
339,"14","3","3","9","4","7","4","2","1","7","9","4","5","15","8","13","8","5","3","15"
343,"11","9","9","11","9","8","8","8","6","9","14","15","14","18","15","16","16","15","11","17"
344,"5","5","7","18","8","6","8","4","3","4","7","7","12","30","14","11","13","7","5","7"
345,"5","4","2","4","4","7","3","5","2","6","4","4","2","4","4","7","3","5","2","6"
346,"8","4","7","9","9","6","6","8","11","7","19","10","20","27","27","16","15","21","29","18"
347,"14","15","15","16","8","7","4","6","2","6","8","10","13","14","7","6","4","6","2","6"
348,"1","4","4","2","4","2","1","2","3","3","3","13","13","7","12","8","5","7","10","11"
349,"2","1","1","0","1","0","0","0","0","0","3","3","3","0","2","0","0","0","0","0"
350,"1","0","0","0","0","1","1","1","0","2","2","0","0","0","0","1","1","1","0","3"
351,"1","1","2","0","1","0","0","0","1","0","1","1","2","0","1","0","0","0","1","0"
352,"1","1","0","0","1","0","1","0","1","1","2","3","1","1","2","1","2","1","2","3"
353,"0","0","0","0","2","1","1","0","0","0","1","1","1","1","5","2","2","0","1","0"
354,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","1","2"
355,"1","1","1","1","1","0","3","1","1","3","2","2","3","2","3","1","7","2","3","6"
356,"1","1","1","1","1","0","0","0","1","0","3","3","3","5","3","1","2","2","4","0"
357,"2","1","1","1","0","1","1","0","0","2","4","3","2","2","0","3","3","1","1","4"
358,"2","2","2","3","3","2","3","3","3","5","7","6","7","9","9","9","11","12","13","20"
359,"0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","2","1","0"
360,"0","2","3","4","2","2","2","3","1","2","1","8","11","16","9","10","9","12","7","11"
361,"38","38","30","23","15","8","7","8","11","12","38","43","34","35","29","17","15","16","22","25"
362,"3","11","9","7","5","6","5","8","12","11","8","34","29","23","15","20","13","24","35","31"
363,"23","19","20","24","21","17","21","33","25","25","54","56","59","72","62","52","53","84","64","63"
364,"0","1","0","0","0","1","0","0","0","0","1","2","0","1","1","2","0","0","0","0"
365,"1","5","6","5","5","8","5","5","7","2","1","9","10","8","8","13","7","6","9","3"
366,"21","27","16","20","18","19","20","20","13","20","14","20","13","16","14","15","15","15","10","15"
367,"4","3","2","2","3","3","2","2","4","3","18","12","12","13","14","17","12","13","24","14"
368,"4","--","--","--","--","--","--","--","--","--","12","0","0","0","0","0","0","0","0","0"
369,"23","16","25","22","18","22","28","23","26","17","28","20","25","25","20","25","25","20","23","15"
370,"19","20","20","15","19","16","20","14","23","17","50","64","64","50","63","53","58","40","67","51"
371,"12","20","14","26","26","22","15","15","16","18","88","114","86","159","157","135","108","107","111","126"
372,"0","1","0","0","1","1","1","1","1","1","4","8","5","4","7","7","7","7","8","10"
373,"0","0","0","0","1","0","0","0","0","1","0","0","0","0","2","1","0","1","1","2"
374,"23","21","24","30","29","32","25","25","30","28","53","51","59","75","75","81","64","65","78","73"
375,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1"
376,"2","2","2","1","2","2","2","4","4","3","6","8","6","4","9","8","9","15","14","12"
377,"1","1","1","1","1","2","1","1","1","1","3","6","6","7","6","12","7","4","6","5"
378,"2","4","1","4","4","1","2","2","1","1","8","18","3","19","16","7","12","13","6","7"
379,"0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","2","1","1","4"
380,"0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","1","1","0","0","0"
381,"4","3","3","3","4","3","3","2","3","4","12","9","10","12","14","11","14","9","15","16"
382,"11","10","9","16","16","7","9","9","8","6","30","29","27","49","47","21","23","24","21","16"
383,"6","7","5","10","9","7","12","10","12","12","21","30","20","42","37","30","49","40","47","47"
385,"10","13","17","21","16","23","17","16","19","14","46","59","84","103","79","115","85","83","95","74"
386,"5","14","8","7","11","8","9","5","8","10","8","27","16","14","21","16","16","10","15","18"
387,"13","21","25","25","36","30","19","17","16","21","33","49","58","57","82","70","50","46","43","55"
388,"15","16","11","10","7","4","7","6","4","11","22","27","22","21","20","11","17","14","9","24"
389,"4","4","5","6","6","4","7","4","5","6","37","36","46","61","56","36","58","36","44","46"
390,"6","5","1","3","5","4","6","4","2","3","9","8","1","4","8","6","10","6","3","4"
391,"0","1","0","0","1","1","1","0","1","0","1","2","1","1","2","2","3","1","3","1"
392,"0","0","1","0","0","1","1","0","0","1","4","3","6","4","1","6","6","4","2","6"
393,"4","2","1","2","3","5","3","3","4","6","20","9","3","13","17","27","20","21","27","34"
394,"2","3","1","1","2","3","2","2","3","1","5","9","4","2","5","8","5","6","7","3"
395,"--","2","3","3","4","--","--","--","--","--","0","3","5","4","7","0","0","0","0","0"
396,"--","0","1","--","--","0","1","1","1","--","0","0","2","0","0","0","2","2","2","0"
397,"3","0","0","3","--","5","--","--","--","--","5","0","0","6","0","10","0","0","0","0"
398,"4","0","0","0","--","3","--","--","--","--","2","0","0","0","0","2","0","0","0","0"
399,"1","0","1","4","--","3","--","--","--","--","2","1","3","9","0","7","0","0","0","0"
400,"--","1","2","0","0","--","--","--","--","--","0","3","4","0","0","0","0","0","0","0"
401,"--","7","5","3","1","--","--","--","--","--","0","15","11","7","2","0","0","0","0","0"
402,"--","2","3","1","0","--","--","--","--","--","0","3","4","2","0","0","0","0","0","0"
403,"--","1","1","--","--","0","0","0","0","--","0","1","1","0","0","0","1","0","0","0"
404,"4","5","5","6","--","13","--","--","--","--","8","10","10","12","0","28","0","0","0","0"
405,"0","0","1","2","--","3","--","--","--","--","0","0","3","6","0","10","0","0","0","0"
406,"--","1","1","--","--","1","0","0","0","--","0","2","2","0","0","3","0","0","0","0"
407,"--","1","1","--","--","1","1","0","0","--","0","2","1","0","0","2","1","0","0","0"
408,"--","0","0","--","--","0","0","0","0","--","0","1","1","0","0","1","0","0","0","0"
409,"0","1","0","0","--","0","--","--","--","--","0","2","0","1","0","1","0","0","0","0"
410,"1","0","1","0","--","8","--","--","--","--","1","0","1","0","0","13","0","0","0","0"
411,"1","1","0","1","--","4","--","--","--","--","1","1","0","2","0","7","0","0","0","0"
412,"0","2","0","1","4","0","--","--","--","--","0","1","0","1","3","0","0","0","0","0"
413,"1","1","0","0","0","0","--","--","--","--","4","2","0","1","1","1","0","0","0","0"
416,"2","1","1","2","1","2","--","--","--","--","2","2","2","4","2","3","0","0","0","0"
417,"2","1","0","2","0","0","--","--","--","--","3","1","0","4","1","1","0","0","0","0"
418,"1","0","0","1","1","1","--","--","--","--","2","1","1","3","3","3","0","0","0","0"
419,"0","0","1","0","0","0","--","--","--","--","1","0","2","1","0","1","0","0","0","0"
420,"0","0","1","1","0","1","--","--","--","--","1","1","3","2","1","2","0","0","0","0"
421,"2","1","1","0","0","0","--","--","--","--","2","1","2","0","0","0","0","0","0","0"
422,"7","3","4","2","2","1","--","--","--","--","13","5","8","5","4","4","0","0","0","0"
423,"--","1","2","--","--","0","0","0","0","--","0","2","4","0","0","1","0","0","0","0"
424,"1","1","0","0","1","1","--","--","--","--","2","1","0","0","1","2","0","0","0","0"
425,"--","0","1","--","--","0","0","0","0","--","0","0","1","0","0","0","0","0","0","0"
426,"--","5","2","3","3","--","--","--","--","--","0","10","5","6","7","0","0","0","0","0"
428,"--","0","3","--","--","1","1","0","0","--","0","0","5","0","0","2","1","0","0","0"
430,"1","--","--","--","--","--","--","--","--","--","3","0","0","0","0","0","0","0","0","0"
431,"--","2","0","--","--","0","0","0","0","--","0","3","0","0","0","0","0","0","0","0"
432,"--","4","5","2","3","--","--","--","--","--","0","10","12","4","8","0","0","0","0","0"
433,"--","1","0","0","0","--","--","--","--","--","0","1","0","0","0","0","0","0","0","0"
434,"1","0","1","0","0","0","--","--","--","--","3","1","2","1","1","1","0","0","0","0"
435,"--","2","3","--","--","5","0","0","0","--","0","1","2","0","0","3","0","0","0","0"
436,"--","4","1","--","--","1","0","0","0","--","0","6","1","0","0","1","0","0","0","0"
437,"1","4","3","1","1","3","--","--","--","--","2","9","9","2","4","11","0","0","0","0"
438,"0","1","1","4","--","3","--","--","--","--","0","1","2","10","0","10","0","0","0","0"
442,"--","4","2","--","--","4","1","2","3","--","0","7","4","0","0","9","3","4","6","0"
443,"0","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0"
444,"0","--","--","--","--","--","--","--","--","--","1","0","0","0","0","0","0","0","0","0"
445,"0","0","0","0","1","0","--","--","--","--","1","0","1","0","2","1","0","0","0","0"
446,"2","0","1","1","1","0","--","--","--","--","2","0","1","1","1","0","0","0","0","0"
447,"2","0","1","0","1","0","--","--","--","--","4","0","2","0","2","1","0","0","0","0"
448,"2","3","3","4","--","7","--","--","--","--","6","9","9","12","0","24","0","0","0","0"
449,"0","0","0","1","--","1","--","--","--","--","1","1","1","3","0","3","0","0","0","0"
450,"1","0","1","0","0","0","--","--","--","--","2","1","2","1","0","2","0","0","0","0"
451,"--","0","0","0","1","0","0","0","0","--","0","0","1","1","3","2","1","1","1","0"
452,"1","0","1","2","1","2","--","--","--","--","2","0","1","3","2","4","0","0","0","0"
453,"4","--","--","--","--","--","--","--","--","--","7","0","0","0","0","0","0","0","0","0"
454,"--","1","1","--","--","2","0","1","1","--","0","1","2","0","0","3","0","1","1","0"
455,"--","1","0","--","--","0","0","0","0","--","0","1","0","0","0","1","0","0","0","0"
456,"--","6","6","0","0","--","--","--","--","--","0","7","6","0","0","0","0","0","0","0"
457,"--","1","1","0","0","--","--","--","--","--","0","1","1","0","0","0","0","0","0","0"
458,"0","1","1","3","--","1","--","--","--","--","0","1","1","3","0","1","0","0","0","0"
459,"--","2","3","1","0","--","--","--","--","--","0","6","8","4","1","0","0","0","0","0"
460,"--","5","6","1","4","--","--","--","--","--","0","16","17","4","11","0","0","0","0","0"
462,"2","1","0","0","0","2","--","--","--","--","4","2","1","1","1","4","0","0","0","0"
463,"2","1","5","2","1","2","--","--","--","--","4","3","12","4","2","4","0","0","0","0"
464,"0","0","2","1","0","1","--","--","--","--","1","1","6","3","2","3","0","0","0","0"
465,"--","2","1","0","1","--","--","--","--","--","0","2","1","0","1","0","0","0","0","0"
466,"1","1","1","0","1","2","--","--","--","--","3","2","3","1","3","5","0","0","0","0"
467,"2","0","1","2","0","1","--","--","--","--","3","0","2","4","1","3","0","0","0","0"
468,"--","0","0","0","0","1","1","0","1","--","0","0","0","0","0","1","1","0","1","0"
469,"--","1","1","0","1","2","0","0","0","--","0","1","1","0","2","3","0","0","0","0"
470,"1","1","0","4","--","4","--","--","--","--","1","3","0","9","0","9","0","0","0","0"
471,"1","1","1","3","--","5","--","--","--","--","2","4","4","9","0","16","0","0","0","0"
472,"0","0","0","1","--","3","--","--","--","--","0","0","0","1","0","4","0","0","0","0"
473,"--","2","4","3","1","1","2","0","3","--","0","5","8","6","2","3","4","0","6","0"
474,"2","1","1","5","--","3","--","--","--","--","4","3","2","13","0","8","0","0","0","0"
475,"--","0","0","0","0","0","0","0","1","--","0","0","0","1","0","0","0","0","3","0"
476,"13","13","12","13","13","9","10","12","11","14","157","186","191","202","215","165","171","198","190","226"
