NPA,2011,2013,2015,2016,2017,2018,2019,2020,2021,2022,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2017 Raw,2018 Raw,2019 Raw,2020 Raw,2021 Raw,2022 Raw
73,"2","2","5","4","3","3","3","2","4","1","7","5","13","13","8","9","11","8","15","5"
74,"4","3","1","7","6","2","2","4","0","4","4","3","1","8","7","2","2","4","0","4"
75,"0","0","1","0","1","0","1","0","0","0","0","0","2","0","3","0","3","0","1","0"
76,"1","2","1","1","0","2","1","2","2","2","2","5","3","3","1","6","4","5","6","7"
77,"1","1","1","1","2","1","3","1","2","2","5","6","5","8","14","5","14","6","9","13"
78,"2","2","3","3","1","1","1","2","2","4","4","3","7","7","3","2","2","6","6","10"
79,"11","11","10","14","15","11","14","18","26","15","17","24","18","24","35","26","26","33","49","28"
80,"1","1","0","3","1","4","2","3","7","5","3","2","1","6","3","8","4","6","14","10"
81,"1","2","0","0","3","2","3","0","0","0","1","2","0","0","4","2","3","0","0","0"
82,"2","1","2","3","3","2","3","4","4","4","3","2","4","9","9","5","7","10","12","10"
83,"3","4","0","9","5","11","3","2","4","0","5","3","0","8","4","10","5","3","7","0"
84,"0","1","4","2","3","4","3","3","5","5","0","1","3","1","2","3","2","2","3","3"
85,"15","18","19","14","13","19","17","16","18","14","26","35","38","28","26","38","29","28","32","25"
86,"13","9","5","7","9","7","6","8","9","10","29","25","16","21","28","21","15","18","21","24"
87,"7","6","6","6","8","9","14","15","8","11","11","10","10","10","14","15","19","20","10","14"
88,"14","16","21","22","19","15","17","17","26","21","17","20","25","27","24","19","22","22","34","27"
89,"2","4","3","3","4","3","1","3","1","1","3","6","4","5","6","4","1","4","2","1"
90,"11","10","17","11","10","10","16","12","12","18","19","20","34","23","20","20","26","20","20","30"
91,"4","1","1","4","2","2","3","3","3","1","8","3","2","10","4","6","8","7","6","2"
92,"3","3","1","2","1","3","3","8","3","3","5","5","3","4","2","7","7","21","8","7"
93,"4","3","4","4","6","6","5","8","8","4","5","4","5","6","8","8","6","10","10","5"
94,"7","4","8","7","14","16","5","9","15","18","7","4","9","8","16","17","6","11","18","22"
95,"0","5","1","2","2","2","4","3","7","6","0","8","2","4","3","4","6","5","11","10"
96,"2","1","2","4","5","7","5","7","6","6","8","5","9","18","22","31","23","35","31","31"
97,"1","1","2","3","1","1","0","2","2","1","3","4","6","10","3","3","2","7","8","3"
98,"0","3","1","1","1","2","1","2","2","2","1","7","4","4","4","5","5","9","8","9"
99,"2","3","2","3","3","0","4","1","1","4","3","5","3","5","4","0","7","2","1","7"
100,"6","13","13","13","12","13","15","10","11","8","11","22","23","23","21","22","28","19","20","14"
101,"18","10","7","20","12","9","9","14","10","8","33","22","17","47","27","21","18","28","20","16"
102,"7","5","6","9","10","7","14","10","5","5","10","7","9","13","15","11","19","13","6","7"
103,"13","20","17","16","23","9","14","13","21","23","17","31","27","25","36","14","28","25","40","44"
105,"1","1","1","3","2","0","1","1","1","1","1","1","2","5","3","1","1","2","2","2"
106,"10","10","9","12","7","14","13","15","15","16","13","16","15","20","12","22","18","22","21","23"
107,"4","4","2","4","6","4","3","3","5","5","7","10","5","5","8","5","7","6","10","11"
108,"--","7","7","1","6","--","--","--","--","--","0","10","10","1","8","0","0","0","0","0"
109,"3","2","2","2","4","2","6","6","5","5","6","5","4","6","10","5","15","16","13","13"
110,"1","1","3","2","2","4","3","5","4","3","2","1","5","3","4","7","5","9","7","6"
111,"2","1","2","0","1","2","2","2","2","2","5","2","6","1","4","7","10","11","12","9"
112,"3","1","2","3","3","1","1","3","6","7","4","1","3","5","5","2","1","6","11","12"
113,"2","2","3","6","5","3","4","6","4","4","8","9","14","24","23","14","18","27","19","18"
114,"8","12","10","15","7","8","10","13","9","10","10","15","13","19","11","12","13","16","12","13"
115,"1","1","0","0","0","1","0","0","0","0","3","2","1","2","1","5","0","1","1","2"
116,"9","--","--","--","--","--","--","--","--","--","24","0","0","0","0","0","0","0","0","0"
117,"2","3","2","3","3","4","4","3","4","4","5","10","7","12","13","19","18","16","21","17"
118,"--","0","0","0","0","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0"
119,"5","2","9","7","10","7","3","8","5","4","6","3","12","9","13","9","6","15","10","7"
120,"4","20","17","16","17","23","13","14","12","14","6","30","26","23","26","35","22","23","20","23"
121,"8","5","6","4","8","6","6","7","11","8","17","11","14","10","19","13","14","17","25","19"
122,"--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0"
123,"5","7","9","11","13","7","8","14","12","10","12","18","23","29","32","18","20","34","30","25"
124,"19","29","23","32","32","25","42","32","39","41","35","60","47","65","65","52","80","61","75","77"
125,"10","11","9","8","9","13","8","14","10","7","28","32","26","25","30","44","28","47","34","24"
126,"77","3","9","3","5","9","4","6","5","4","1","1","5","2","4","8","6","8","7","5"
127,"8","8","5","7","12","6","12","11","9","9","21","18","12","16","28","16","32","29","24","24"
128,"8","12","8","14","18","10","12","11","12","6","19","35","24","40","51","29","31","30","32","16"
129,"0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0"
130,"1","1","2","1","2","1","0","1","2","1","1","2","4","1","4","1","0","3","4","3"
131,"1","1","0","1","0","1","2","1","0","2","2","2","0","3","0","2","4","3","1","4"
132,"4","4","2","0","0","8","4","2","2","0","2","2","1","0","0","4","2","1","1","0"
133,"0","1","0","0","0","1","1","1","1","0","0","1","0","0","0","1","1","1","1","0"
